TRAJECTORY;ASTAGarageSquare_ego;0.1;1809;;;;;;;
LINE;0.89;25.84;106.28;0.01; 5.07;  1.84;   2.32;    0.00;0;ENDLINE
LINE;0.90;25.85;106.26;0.01; 5.07;  1.86;   2.31;    0.00;0;ENDLINE
LINE;0.91;25.86;106.24;0.01; 5.07;  1.88;   2.30;    0.00;0;ENDLINE
LINE;0.92;25.86;106.23;0.01; 5.07;  1.90;   2.30;    0.00;0;ENDLINE
LINE;0.93;25.87;106.21;0.01; 5.07;  1.93;   2.29;    0.00;0;ENDLINE
LINE;0.94;25.88;106.19;0.01; 5.07;  1.95;   2.28;    0.00;0;ENDLINE
LINE;0.95;25.88;106.17;0.01; 5.07;  1.97;   2.28;    0.00;0;ENDLINE
LINE;0.96;25.89;106.15;0.01; 5.07;  2.00;   2.27;    0.00;0;ENDLINE
LINE;0.97;25.90;106.14;0.01; 5.07;  2.02;   2.26;    0.00;0;ENDLINE
LINE;0.98;25.91;106.12;0.01; 5.07;  2.04;   2.26;    0.00;0;ENDLINE
LINE;0.99;25.91;106.10;0.01; 5.07;  2.06;   2.25;    0.00;0;ENDLINE
LINE;1.00;25.92;106.08;0.01; 5.07;  2.09;   2.25;    0.00;0;ENDLINE
LINE;1.01;25.93;106.06;0.01; 5.07;  2.11;   2.24;    0.00;0;ENDLINE
LINE;1.02;25.94;106.04;0.01; 5.07;  2.13;   2.23;    0.00;0;ENDLINE
LINE;1.03;25.94;106.02;0.01; 5.07;  2.15;   2.23;    0.00;0;ENDLINE
LINE;1.04;25.95;106.00;0.01; 5.07;  2.18;   2.22;    0.00;0;ENDLINE
LINE;1.05;25.96;105.98;0.01; 5.07;  2.20;   2.21;    0.00;0;ENDLINE
LINE;1.06;25.97;105.96;0.01; 5.07;  2.22;   2.21;    0.00;0;ENDLINE
LINE;1.07;25.97;105.94;0.01; 5.07;  2.24;   2.20;    0.00;0;ENDLINE
LINE;1.08;25.98;105.91;0.01; 5.07;  2.26;   2.20;    0.00;0;ENDLINE
LINE;1.09;25.99;105.89;0.01; 5.07;  2.29;   2.19;    0.00;0;ENDLINE
LINE;1.10;26.00;105.87;0.01; 5.07;  2.31;   2.19;    0.00;0;ENDLINE
LINE;1.11;26.01;105.85;0.01; 5.07;  2.33;   2.18;    0.00;0;ENDLINE
LINE;1.12;26.01;105.83;0.01; 5.07;  2.35;   2.18;    0.00;0;ENDLINE
LINE;1.13;26.02;105.81;0.01; 5.07;  2.37;   2.17;    0.00;0;ENDLINE
LINE;1.14;26.03;105.78;0.01; 5.07;  2.39;   2.17;    0.00;0;ENDLINE
LINE;1.15;26.04;105.76;0.01; 5.07;  2.42;   2.16;    0.00;0;ENDLINE
LINE;1.16;26.05;105.74;0.01; 5.07;  2.44;   2.16;    0.00;0;ENDLINE
LINE;1.17;26.06;105.72;0.01; 5.07;  2.46;   2.15;    0.00;0;ENDLINE
LINE;1.18;26.07;105.69;0.01; 5.07;  2.48;   2.15;    0.00;0;ENDLINE
LINE;1.19;26.07;105.67;0.01; 5.07;  2.50;   2.15;    0.00;0;ENDLINE
LINE;1.20;26.08;105.65;0.01; 5.07;  2.52;   2.14;    0.00;0;ENDLINE
LINE;1.21;26.09;105.62;0.01; 5.07;  2.55;   2.14;    0.00;0;ENDLINE
LINE;1.22;26.10;105.60;0.01; 5.07;  2.57;   2.14;    0.00;0;ENDLINE
LINE;1.23;26.11;105.57;0.01; 5.07;  2.59;   2.13;    0.00;0;ENDLINE
LINE;1.24;26.12;105.55;0.01; 5.07;  2.61;   2.13;    0.00;0;ENDLINE
LINE;1.25;26.13;105.53;0.01; 5.07;  2.63;   2.13;    0.00;0;ENDLINE
LINE;1.26;26.14;105.50;0.01; 5.07;  2.65;   2.12;    0.00;0;ENDLINE
LINE;1.27;26.15;105.48;0.01; 5.07;  2.67;   2.12;    0.00;0;ENDLINE
LINE;1.28;26.16;105.45;0.01; 5.07;  2.69;   2.12;    0.00;0;ENDLINE
LINE;1.29;26.17;105.43;0.01; 5.07;  2.72;   2.12;    0.00;0;ENDLINE
LINE;1.30;26.18;105.40;0.01; 5.07;  2.74;   2.11;    0.00;0;ENDLINE
LINE;1.31;26.19;105.37;0.01; 5.07;  2.76;   2.11;    0.00;0;ENDLINE
LINE;1.32;26.20;105.35;0.01; 5.07;  2.78;   2.11;    0.00;0;ENDLINE
LINE;1.33;26.21;105.32;0.01; 5.07;  2.80;   2.11;    0.00;0;ENDLINE
LINE;1.34;26.22;105.30;0.01; 5.07;  2.82;   2.11;    0.00;0;ENDLINE
LINE;1.35;26.23;105.27;0.01; 5.07;  2.84;   2.11;    0.00;0;ENDLINE
LINE;1.36;26.24;105.24;0.01; 5.07;  2.86;   2.11;    0.00;0;ENDLINE
LINE;1.37;26.25;105.22;0.01; 5.07;  2.88;   2.11;    0.00;0;ENDLINE
LINE;1.38;26.26;105.19;0.01; 5.07;  2.91;   2.11;    0.00;0;ENDLINE
LINE;1.39;26.27;105.16;0.01; 5.07;  2.93;   2.11;    0.00;0;ENDLINE
LINE;1.40;26.28;105.13;0.01; 5.07;  2.95;   2.11;    0.00;0;ENDLINE
LINE;1.41;26.29;105.11;0.01; 5.07;  2.97;   2.11;    0.00;0;ENDLINE
LINE;1.42;26.30;105.08;0.01; 5.07;  2.99;   2.11;    0.00;0;ENDLINE
LINE;1.43;26.31;105.05;0.01; 5.07;  3.01;   2.11;    0.00;0;ENDLINE
LINE;1.44;26.32;105.02;0.01; 5.07;  3.03;   2.11;    0.00;0;ENDLINE
LINE;1.45;26.33;104.99;0.01; 5.07;  3.05;   2.11;    0.00;0;ENDLINE
LINE;1.46;26.34;104.96;0.01; 5.07;  3.07;   2.11;    0.00;0;ENDLINE
LINE;1.47;26.35;104.94;0.01; 5.07;  3.10;   2.11;    0.00;0;ENDLINE
LINE;1.48;26.36;104.91;0.01; 5.07;  3.12;   2.11;    0.00;0;ENDLINE
LINE;1.49;26.37;104.88;0.01; 5.07;  3.14;   2.11;    0.00;0;ENDLINE
LINE;1.50;26.38;104.85;0.01; 5.07;  3.16;   2.11;    0.00;0;ENDLINE
LINE;1.51;26.40;104.82;0.01; 5.07;  3.18;   2.11;    0.00;0;ENDLINE
LINE;1.52;26.41;104.79;0.01; 5.07;  3.20;   2.12;    0.00;0;ENDLINE
LINE;1.53;26.42;104.76;0.01; 5.07;  3.22;   2.12;    0.00;0;ENDLINE
LINE;1.54;26.43;104.73;0.01; 5.07;  3.24;   2.12;    0.00;0;ENDLINE
LINE;1.55;26.44;104.70;0.01; 5.07;  3.26;   2.12;    0.00;0;ENDLINE
LINE;1.56;26.45;104.67;0.01; 5.07;  3.29;   2.12;    0.00;0;ENDLINE
LINE;1.57;26.46;104.64;0.01; 5.07;  3.31;   2.12;    0.00;0;ENDLINE
LINE;1.58;26.48;104.61;0.01; 5.07;  3.33;   2.12;    0.00;0;ENDLINE
LINE;1.59;26.49;104.57;0.01; 5.07;  3.35;   2.12;    0.00;0;ENDLINE
LINE;1.60;26.50;104.54;0.01; 5.07;  3.37;   2.12;    0.00;0;ENDLINE
LINE;1.61;26.51;104.51;0.01; 5.07;  3.39;   2.12;    0.00;0;ENDLINE
