TRAJECTORY;ASTAGarageSquare_fellow_4;0.1;1809;;;;;;;
LINE;2.62;20.62;97.48;0.00; 5.07;  5.47;   0.87;    0.00;0;ENDLINE
LINE;2.63;20.64;97.42;0.00; 5.07;  5.48;   0.78;    0.00;0;ENDLINE
LINE;2.64;20.66;97.37;0.00; 5.07;  5.49;   0.72;    0.00;0;ENDLINE
LINE;2.65;20.68;97.32;0.00; 5.07;  5.50;   0.67;    0.00;0;ENDLINE
LINE;2.66;20.69;97.27;0.00; 5.07;  5.50;   0.63;    0.00;0;ENDLINE
LINE;2.67;20.71;97.22;0.00; 5.07;  5.51;   0.59;    0.00;0;ENDLINE
LINE;2.68;20.73;97.17;0.00; 5.07;  5.52;   0.55;    0.00;0;ENDLINE
LINE;2.69;20.75;97.12;0.00; 5.07;  5.52;   0.52;    0.00;0;ENDLINE
LINE;2.70;20.77;97.06;0.00; 5.07;  5.53;   0.48;    0.00;0;ENDLINE
LINE;2.71;20.79;97.01;0.00; 5.07;  5.53;   0.46;    0.00;0;ENDLINE
LINE;2.72;20.81;96.96;0.00; 5.07;  5.54;   0.44;    0.00;0;ENDLINE
LINE;2.73;20.83;96.91;0.00; 5.07;  5.54;   0.42;    0.00;0;ENDLINE
LINE;2.74;20.85;96.86;0.00; 5.07;  5.55;   0.40;    0.00;0;ENDLINE
LINE;2.75;20.87;96.80;0.00; 5.07;  5.55;   0.39;    0.00;0;ENDLINE
LINE;2.76;20.89;96.75;0.00; 5.07;  5.55;   0.38;    0.00;0;ENDLINE
LINE;2.77;20.91;96.70;0.00; 5.07;  5.56;   0.36;    0.00;0;ENDLINE
LINE;2.78;20.93;96.65;0.00; 5.07;  5.56;   0.35;    0.00;0;ENDLINE
LINE;2.79;20.95;96.60;0.00; 5.07;  5.56;   0.34;    0.00;0;ENDLINE
LINE;2.80;20.97;96.54;0.00; 5.07;  5.57;   0.33;    0.00;0;ENDLINE
LINE;2.81;20.99;96.49;0.00; 5.07;  5.57;   0.32;    0.00;0;ENDLINE
LINE;2.82;21.01;96.44;0.00; 5.07;  5.57;   0.31;    0.00;0;ENDLINE
