TRAJECTORY;ASTAGarageSquare_fellow_3;0.1;1809;;;;;;;
LINE;0.95;22.14;104.76;0.00; 5.07;  1.97;   2.27;    0.00;0;ENDLINE
LINE;0.96;22.15;104.74;0.00; 5.07;  1.99;   2.27;    0.00;0;ENDLINE
LINE;0.97;22.16;104.72;0.00; 5.07;  2.02;   2.26;    0.00;0;ENDLINE
LINE;0.98;22.16;104.71;0.00; 5.07;  2.04;   2.26;    0.00;0;ENDLINE
LINE;0.99;22.17;104.69;0.00; 5.07;  2.06;   2.25;    0.00;0;ENDLINE
LINE;1.00;22.18;104.67;0.00; 5.07;  2.08;   2.24;    0.00;0;ENDLINE
LINE;1.01;22.18;104.65;0.00; 5.07;  2.11;   2.24;    0.00;0;ENDLINE
LINE;1.02;22.19;104.63;0.00; 5.07;  2.13;   2.23;    0.00;0;ENDLINE
LINE;1.03;22.20;104.61;0.00; 5.07;  2.15;   2.23;    0.00;0;ENDLINE
LINE;1.04;22.21;104.59;0.00; 5.07;  2.17;   2.22;    0.00;0;ENDLINE
LINE;1.05;22.22;104.57;0.00; 5.07;  2.19;   2.21;    0.00;0;ENDLINE
LINE;1.06;22.22;104.55;0.00; 5.07;  2.22;   2.21;    0.00;0;ENDLINE
LINE;1.07;22.23;104.53;0.00; 5.07;  2.24;   2.20;    0.00;0;ENDLINE
LINE;1.08;22.24;104.50;0.00; 5.07;  2.26;   2.20;    0.00;0;ENDLINE
LINE;1.09;22.25;104.48;0.00; 5.07;  2.28;   2.19;    0.00;0;ENDLINE
LINE;1.10;22.25;104.46;0.00; 5.07;  2.31;   2.19;    0.00;0;ENDLINE
LINE;1.11;22.26;104.44;0.00; 5.07;  2.33;   2.18;    0.00;0;ENDLINE
LINE;1.12;22.27;104.42;0.00; 5.07;  2.35;   2.18;    0.00;0;ENDLINE
LINE;1.13;22.28;104.40;0.00; 5.07;  2.37;   2.17;    0.00;0;ENDLINE
LINE;1.14;22.29;104.37;0.00; 5.07;  2.39;   2.17;    0.00;0;ENDLINE
LINE;1.15;22.30;104.35;0.00; 5.07;  2.41;   2.16;    0.00;0;ENDLINE
LINE;1.16;22.31;104.33;0.00; 5.07;  2.44;   2.16;    0.00;0;ENDLINE
LINE;1.17;22.31;104.31;0.00; 5.07;  2.46;   2.16;    0.00;0;ENDLINE
LINE;1.18;22.32;104.28;0.00; 5.07;  2.48;   2.15;    0.00;0;ENDLINE
LINE;1.19;22.33;104.26;0.00; 5.07;  2.50;   2.15;    0.00;0;ENDLINE
LINE;1.20;22.34;104.24;0.00; 5.07;  2.52;   2.14;    0.00;0;ENDLINE
LINE;1.21;22.35;104.21;0.00; 5.07;  2.54;   2.14;    0.00;0;ENDLINE
LINE;1.22;22.36;104.19;0.00; 5.07;  2.56;   2.14;    0.00;0;ENDLINE
LINE;1.23;22.37;104.16;0.00; 5.07;  2.59;   2.13;    0.00;0;ENDLINE
LINE;1.24;22.38;104.14;0.00; 5.07;  2.61;   2.13;    0.00;0;ENDLINE
LINE;1.25;22.39;104.11;0.00; 5.07;  2.63;   2.13;    0.00;0;ENDLINE
LINE;1.26;22.40;104.09;0.00; 5.07;  2.65;   2.12;    0.00;0;ENDLINE
LINE;1.27;22.40;104.07;0.00; 5.07;  2.67;   2.12;    0.00;0;ENDLINE
LINE;1.28;22.41;104.04;0.00; 5.07;  2.69;   2.12;    0.00;0;ENDLINE
LINE;1.29;22.42;104.01;0.00; 5.07;  2.71;   2.12;    0.00;0;ENDLINE
LINE;1.30;22.43;103.99;0.00; 5.07;  2.73;   2.11;    0.00;0;ENDLINE
LINE;1.31;22.44;103.96;0.00; 5.07;  2.76;   2.11;    0.00;0;ENDLINE
LINE;1.32;22.45;103.94;0.00; 5.07;  2.78;   2.11;    0.00;0;ENDLINE
LINE;1.33;22.46;103.91;0.00; 5.07;  2.80;   2.11;    0.00;0;ENDLINE
LINE;1.34;22.47;103.89;0.00; 5.07;  2.82;   2.11;    0.00;0;ENDLINE
LINE;1.35;22.48;103.86;0.00; 5.07;  2.84;   2.11;    0.00;0;ENDLINE
LINE;1.36;22.49;103.83;0.00; 5.07;  2.86;   2.11;    0.00;0;ENDLINE
LINE;1.37;22.50;103.81;0.00; 5.07;  2.88;   2.11;    0.00;0;ENDLINE
LINE;1.38;22.51;103.78;0.00; 5.07;  2.90;   2.11;    0.00;0;ENDLINE
LINE;1.39;22.52;103.75;0.00; 5.07;  2.92;   2.11;    0.00;0;ENDLINE
LINE;1.40;22.53;103.72;0.00; 5.07;  2.95;   2.11;    0.00;0;ENDLINE
LINE;1.41;22.54;103.70;0.00; 5.07;  2.97;   2.11;    0.00;0;ENDLINE
LINE;1.42;22.55;103.67;0.00; 5.07;  2.99;   2.11;    0.00;0;ENDLINE
LINE;1.43;22.56;103.64;0.00; 5.07;  3.01;   2.11;    0.00;0;ENDLINE
LINE;1.44;22.58;103.61;0.00; 5.07;  3.03;   2.11;    0.00;0;ENDLINE
LINE;1.45;22.59;103.58;0.00; 5.07;  3.05;   2.11;    0.00;0;ENDLINE
LINE;1.46;22.60;103.55;0.00; 5.07;  3.07;   2.11;    0.00;0;ENDLINE
LINE;1.47;22.61;103.53;0.00; 5.07;  3.09;   2.11;    0.00;0;ENDLINE
LINE;1.48;22.62;103.50;0.00; 5.07;  3.11;   2.11;    0.00;0;ENDLINE
LINE;1.49;22.63;103.47;0.00; 5.07;  3.14;   2.11;    0.00;0;ENDLINE
LINE;1.50;22.64;103.44;0.00; 5.07;  3.16;   2.11;    0.00;0;ENDLINE
LINE;1.51;22.65;103.41;0.00; 5.07;  3.18;   2.11;    0.00;0;ENDLINE
LINE;1.52;22.66;103.38;0.00; 5.07;  3.20;   2.12;    0.00;0;ENDLINE
LINE;1.53;22.68;103.35;0.00; 5.07;  3.22;   2.12;    0.00;0;ENDLINE
LINE;1.54;22.69;103.32;0.00; 5.07;  3.24;   2.12;    0.00;0;ENDLINE
LINE;1.55;22.70;103.29;0.00; 5.07;  3.26;   2.12;    0.00;0;ENDLINE
LINE;1.56;22.71;103.26;0.00; 5.07;  3.28;   2.12;    0.00;0;ENDLINE
LINE;1.57;22.72;103.23;0.00; 5.07;  3.30;   2.12;    0.00;0;ENDLINE
LINE;1.58;22.73;103.20;0.00; 5.07;  3.33;   2.12;    0.00;0;ENDLINE
LINE;1.59;22.74;103.16;0.00; 5.07;  3.35;   2.12;    0.00;0;ENDLINE
LINE;1.60;22.76;103.13;0.00; 5.07;  3.37;   2.12;    0.00;0;ENDLINE
LINE;1.61;22.77;103.10;0.00; 5.07;  3.39;   2.12;    0.00;0;ENDLINE
LINE;1.62;22.78;103.07;0.00; 5.07;  3.41;   2.12;    0.00;0;ENDLINE
LINE;1.63;22.79;103.04;0.00; 5.07;  3.43;   2.12;    0.00;0;ENDLINE
LINE;1.64;22.80;103.01;0.00; 5.07;  3.45;   2.12;    0.00;0;ENDLINE
LINE;1.65;22.82;102.97;0.00; 5.07;  3.47;   2.12;    0.00;0;ENDLINE
LINE;1.66;22.83;102.94;0.00; 5.07;  3.50;   2.12;    0.00;0;ENDLINE
LINE;1.67;22.84;102.91;0.00; 5.07;  3.52;   2.12;    0.00;0;ENDLINE
LINE;1.68;22.85;102.87;0.00; 5.07;  3.54;   2.12;    0.00;0;ENDLINE
LINE;1.69;22.87;102.84;0.00; 5.07;  3.56;   2.12;    0.00;0;ENDLINE
LINE;1.70;22.88;102.81;0.00; 5.07;  3.58;   2.12;    0.00;0;ENDLINE
LINE;1.71;22.89;102.77;0.00; 5.07;  3.60;   2.12;    0.00;0;ENDLINE
LINE;1.72;22.90;102.74;0.00; 5.07;  3.62;   2.12;    0.00;0;ENDLINE
LINE;1.73;22.92;102.71;0.00; 5.07;  3.64;   2.12;    0.00;0;ENDLINE
LINE;1.74;22.93;102.67;0.00; 5.07;  3.67;   2.12;    0.00;0;ENDLINE
LINE;1.75;22.94;102.64;0.00; 5.07;  3.69;   2.12;    0.00;0;ENDLINE
LINE;1.76;22.96;102.60;0.00; 5.07;  3.71;   2.12;    0.00;0;ENDLINE
LINE;1.77;22.97;102.57;0.00; 5.07;  3.73;   2.12;    0.00;0;ENDLINE
LINE;1.78;22.98;102.53;0.00; 5.07;  3.75;   2.12;    0.00;0;ENDLINE
LINE;1.79;23.00;102.50;0.00; 5.07;  3.77;   2.12;    0.00;0;ENDLINE
LINE;1.80;23.01;102.46;0.00; 5.07;  3.79;   2.12;    0.00;0;ENDLINE
LINE;1.81;23.02;102.43;0.00; 5.07;  3.81;   2.12;    0.00;0;ENDLINE
LINE;1.82;23.04;102.39;0.00; 5.07;  3.84;   2.12;    0.00;0;ENDLINE
LINE;1.83;23.05;102.36;0.00; 5.07;  3.86;   2.12;    0.00;0;ENDLINE
LINE;1.84;23.06;102.32;0.00; 5.07;  3.88;   2.12;    0.00;0;ENDLINE
LINE;1.85;23.08;102.28;0.00; 5.07;  3.90;   2.12;    0.00;0;ENDLINE
LINE;1.86;23.09;102.25;0.00; 5.07;  3.92;   2.12;    0.00;0;ENDLINE
LINE;1.87;23.11;102.21;0.00; 5.07;  3.94;   2.12;    0.00;0;ENDLINE
LINE;1.88;23.12;102.17;0.00; 5.07;  3.96;   2.12;    0.00;0;ENDLINE
LINE;1.89;23.13;102.14;0.00; 5.07;  3.98;   2.12;    0.00;0;ENDLINE
LINE;1.90;23.15;102.10;0.00; 5.07;  4.01;   2.12;    0.00;0;ENDLINE
LINE;1.91;23.16;102.06;0.00; 5.07;  4.03;   2.12;    0.00;0;ENDLINE
LINE;1.92;23.18;102.02;0.00; 5.07;  4.05;   2.12;    0.00;0;ENDLINE
LINE;1.93;23.19;101.98;0.00; 5.07;  4.07;   2.12;    0.00;0;ENDLINE
LINE;1.94;23.20;101.95;0.00; 5.07;  4.09;   2.12;    0.00;0;ENDLINE
LINE;1.95;23.22;101.91;0.00; 5.07;  4.11;   2.12;    0.00;0;ENDLINE
LINE;1.96;23.23;101.87;0.00; 5.07;  4.13;   2.12;    0.00;0;ENDLINE
LINE;1.97;23.25;101.83;0.00; 5.07;  4.15;   2.12;    0.00;0;ENDLINE
LINE;1.98;23.26;101.79;0.00; 5.07;  4.17;   2.12;    0.00;0;ENDLINE
LINE;1.99;23.28;101.75;0.00; 5.07;  4.20;   2.12;    0.00;0;ENDLINE
LINE;2.00;23.29;101.71;0.00; 5.07;  4.22;   2.12;    0.00;0;ENDLINE
LINE;2.01;23.31;101.67;0.00; 5.07;  4.24;   2.12;    0.00;0;ENDLINE
LINE;2.02;23.32;101.63;0.00; 5.07;  4.26;   2.12;    0.00;0;ENDLINE
LINE;2.03;23.34;101.59;0.00; 5.07;  4.28;   2.12;    0.00;0;ENDLINE
LINE;2.04;23.35;101.55;0.00; 5.07;  4.30;   2.12;    0.00;0;ENDLINE
LINE;2.05;23.37;101.51;0.00; 5.07;  4.32;   2.12;    0.00;0;ENDLINE
LINE;2.06;23.38;101.47;0.00; 5.07;  4.34;   2.12;    0.00;0;ENDLINE
LINE;2.07;23.40;101.43;0.00; 5.07;  4.37;   2.12;    0.00;0;ENDLINE
LINE;2.08;23.41;101.39;0.00; 5.07;  4.39;   2.12;    0.00;0;ENDLINE
LINE;2.09;23.43;101.35;0.00; 5.07;  4.41;   2.12;    0.00;0;ENDLINE
LINE;2.10;23.45;101.31;0.00; 5.07;  4.43;   2.11;    0.00;0;ENDLINE
LINE;2.11;23.46;101.27;0.00; 5.07;  4.45;   2.11;    0.00;0;ENDLINE
LINE;2.12;23.48;101.23;0.00; 5.07;  4.47;   2.11;    0.00;0;ENDLINE
LINE;2.13;23.49;101.18;0.00; 5.07;  4.49;   2.11;    0.00;0;ENDLINE
LINE;2.14;23.51;101.14;0.00; 5.07;  4.51;   2.11;    0.00;0;ENDLINE
LINE;2.15;23.52;101.10;0.00; 5.07;  4.53;   2.11;    0.00;0;ENDLINE
LINE;2.16;23.54;101.06;0.00; 5.07;  4.56;   2.11;    0.00;0;ENDLINE
LINE;2.17;23.56;101.01;0.00; 5.07;  4.58;   2.11;    0.00;0;ENDLINE
LINE;2.18;23.57;100.97;0.00; 5.07;  4.60;   2.11;    0.00;0;ENDLINE
LINE;2.19;23.59;100.93;0.00; 5.07;  4.62;   2.11;    0.00;0;ENDLINE
LINE;2.20;23.61;100.88;0.00; 5.07;  4.64;   2.11;    0.00;0;ENDLINE
LINE;2.21;23.62;100.84;0.00; 5.07;  4.66;   2.11;    0.00;0;ENDLINE
LINE;2.22;23.64;100.80;0.00; 5.07;  4.68;   2.11;    0.00;0;ENDLINE
LINE;2.23;23.66;100.75;0.00; 5.07;  4.70;   2.11;    0.00;0;ENDLINE
LINE;2.24;23.67;100.71;0.00; 5.07;  4.72;   2.11;    0.00;0;ENDLINE
LINE;2.25;23.69;100.66;0.00; 5.07;  4.75;   2.11;    0.00;0;ENDLINE
LINE;2.26;23.71;100.62;0.00; 5.07;  4.77;   2.11;    0.00;0;ENDLINE
LINE;2.27;23.72;100.58;0.00; 5.07;  4.79;   2.11;    0.00;0;ENDLINE
